Velocity_mps,Angle_degrees,Initial_Height_m,Flight_Time_s,Max_Height_m,Distance_m
54.82,77.77,31.76,11.4864,178.0583,133.3902
87.03,39.64,13.86,11.5638,170.9788,774.9946
85.84,64.3,11.92,15.9219,316.8529,592.6974
14.18,13.59,13.98,2.0617,14.5458,28.4164
71.93,61.63,8.41,13.0349,212.5769,445.5135
32.92,33.93,18.76,4.5811,35.9695,125.1299
53.38,71.03,22.97,10.7282,152.8537,186.16
25.14,10.63,34.02,3.1484,35.1161,77.7925
37.38,10.66,27.6,3.1795,30.0369,116.7986
12.91,55.35,13.82,3.08,19.5688,22.6076
28.31,50.09,4.49,4.6251,28.5243,84.0068
61.51,13.81,12.82,3.6998,23.8077,220.9961
46.88,22.01,16.35,4.3484,32.0827,188.9959
34.07,12.47,12.86,2.5343,15.6184,84.3067
32.5,77.67,48.33,7.7452,99.7105,53.7526
81.77,17.41,24.21,5.834,54.7194,455.1918
78.52,45.68,12.81,11.6767,173.6592,640.5742
86.37,79.37,21.82,17.5597,389.0951,279.7669
62.24,29.59,20.18,6.865,68.3221,371.5525
43.97,48.4,10.9,7.0201,66.0039,204.9366
53.04,41.88,15.74,7.6389,79.6406,301.6651
40.42,24.61,13.05,4.0833,27.491,150.0547
65.01,84.23,11.8,13.3667,225.0305,87.3621
56.91,72.91,28.47,11.5909,179.2878,193.8502
78.52,64.7,46.45,15.0998,303.2989,506.691
48.44,70.35,35.03,10.0137,141.1003,163.1141
41.68,53.18,29.69,7.599,86.4318,189.8151
99.49,65.56,7.79,18.5515,425.928,763.6355
97.96,35.85,7.25,11.8216,175.0135,938.656
57.52,25.45,24.15,5.877,55.2898,305.2414
75.77,6.83,22.86,3.2647,26.9984,245.6109
26.96,47.99,6.24,4.3748,26.6927,78.9356
62.34,16.03,26.73,4.6752,41.8341,280.1195
51.02,81.34,36.14,10.9556,165.8049,84.1622
33.84,77.32,49.49,7.9931,105.044,59.3733
18.15,5.39,7.82,1.4484,7.9682,26.1722
65.11,66.76,43.94,12.892,226.3695,331.2126
31.05,75.87,49.7,7.4913,95.9103,56.7842
98.64,52.01,38.53,16.3302,346.5577,991.4927
66.92,79.97,8.58,13.5637,229.9075,158.0855
50.79,63.94,9.58,9.5074,115.6844,212.1354
29.28,66.67,38.47,6.6591,75.313,77.2166
11.55,46.62,21.81,3.1314,25.4018,24.8412
55.2,32.25,34.92,7.0194,79.1416,327.6949
27.09,74.73,39.21,6.5486,74.0196,46.7219
55.7,82.43,2.46,11.3012,157.8447,82.9256
20.84,6.66,41.69,3.1722,41.9877,65.6625
61.03,42.91,43.77,9.4188,131.7713,421.0189
31.46,59.88,34.9,6.6223,72.6422,104.5464
43.0,16.38,49.07,4.632,56.5647,191.0919
75.75,42.42,13.17,10.6692,146.2484,596.6234
62.69,45.04,5.4,9.1639,105.6937,405.9385
59.81,62.95,47.46,11.6877,192.0785,317.9015
71.85,64.53,23.45,13.5768,237.9107,419.4995
42.19,72.63,43.6,9.1777,126.2377,115.5973
56.92,30.49,27.82,6.7307,70.332,330.1339
11.03,41.62,9.25,2.31,11.9855,19.0475
31.74,58.85,12.8,5.9747,50.4076,98.0955
73.09,84.8,39.29,15.3612,309.3342,101.7577
31.39,37.97,35.52,5.3029,54.5301,131.2244
98.67,61.48,24.4,17.9522,407.4924,845.7554
53.65,78.29,0.54,10.7204,141.2005,116.7313
17.06,34.38,27.46,3.5438,32.19,49.896
13.26,57.72,20.88,3.5013,27.2856,24.7948
92.25,44.61,46.13,13.8853,260.0498,911.8906
87.56,48.82,17.78,13.7002,239.1367,789.8419
54.21,39.58,30.12,7.8264,90.9265,326.9994
90.96,47.74,36.67,14.2493,267.6549,871.633
43.98,11.66,34.78,3.7188,38.8068,160.1778
92.03,69.72,44.78,18.1037,424.5973,577.4783
46.48,21.08,11.49,3.9947,25.7344,173.2482
16.29,41.97,13.5,3.1068,19.5487,37.6281
31.34,26.72,42.35,4.7071,52.4707,131.7675
33.49,70.38,29.67,7.264,80.3899,81.6858
96.35,15.35,45.9,6.6146,79.0559,614.5816
15.82,59.09,19.39,3.8059,28.78,30.929
93.31,57.79,16.05,16.2965,333.7381,810.5303
17.88,32.36,27.26,3.5269,31.928,53.2677
67.22,14.85,42.04,5.1701,57.1672,335.9265
63.46,13.67,34.12,4.5773,45.584,282.2472
45.32,10.18,27.93,3.3386,31.2001,148.9234
98.7,7.66,38.91,4.4606,47.7318,436.3325
67.94,10.46,28.2,3.9648,35.9543,264.8921
99.37,65.91,7.04,18.5718,426.4735,753.2716
63.38,82.81,21.02,13.1459,222.554,104.2818
37.49,60.82,32.88,7.5599,87.4875,138.1831
98.74,46.57,25.47,14.966,287.5401,1015.9007
17.47,11.31,36.58,3.1024,37.1783,53.1464
95.24,32.38,38.27,11.1012,170.86,892.8873
77.96,28.1,45.59,8.5707,114.314,589.4123
10.47,57.19,34.25,3.6876,38.1968,20.9206
38.89,81.03,29.49,8.536,104.7023,51.7591
96.23,30.9,38.23,10.7969,162.7023,891.5172
34.04,63.52,11.51,6.569,58.8266,99.7039
94.63,23.45,9.67,7.9262,81.9491,688.1074
81.44,17.54,38.88,6.2684,69.583,486.7638
46.29,35.37,33.96,6.5241,70.5543,246.2606
97.91,70.53,36.65,19.2088,470.9693,626.8734
26.0,66.13,20.96,5.6091,49.7726,59.0147
25.84,39.6,23.81,4.4491,37.6375,88.5819
41.11,55.11,7.72,7.0965,65.6749,166.8744
70.78,54.78,10.63,11.9697,181.0444,488.6039
36.63,50.42,9.56,6.0765,50.1843,141.8194
67.14,24.29,14.44,6.1123,53.3175,374.051
46.87,40.23,21.15,6.8052,67.8551,243.5123
31.41,25.72,10.61,3.4128,20.0803,96.5757
92.82,66.34,6.27,17.4063,374.6712,648.3751
93.52,39.74,8.94,12.3369,191.1306,887.1776
71.2,14.76,26.44,4.8172,43.211,331.6667
60.0,12.69,13.95,3.4998,22.8046,204.8586
56.4,69.18,6.73,10.8738,148.3763,217.9809
28.1,31.01,20.88,4.0124,31.5618,96.6341
10.34,45.57,47.82,3.9645,50.5989,28.6966
62.72,50.66,10.38,10.0989,130.3076,401.5274
50.35,62.74,27.11,9.6951,129.2139,223.5861
54.0,13.19,2.61,2.7085,10.3483,142.4005
46.1,70.28,4.7,8.9544,100.686,139.2878
80.73,57.97,41.91,14.5408,280.6513,622.5821
21.25,42.43,7.97,3.4008,18.4467,53.3404
69.67,40.23,31.55,9.8281,134.7468,522.7578
56.53,40.44,9.66,7.7305,78.1902,332.5984
62.44,64.17,26.33,11.9088,187.3202,323.982
69.17,23.7,31.63,6.6395,71.0281,420.5219
17.17,67.62,40.14,4.9052,52.9876,32.0674
52.9,42.93,13.91,7.7133,80.0767,298.7566
51.96,60.07,6.22,9.3166,109.5704,241.5329
71.09,27.55,17.17,7.1903,72.2741,453.1969
12.47,45.37,15.53,2.9007,19.544,25.4116
31.38,54.48,13.45,5.689,46.6978,103.7183
92.02,22.17,49.9,8.3044,111.3565,707.6744
46.22,30.17,0.79,4.7695,28.2911,190.5842
71.08,83.43,4.38,14.4579,258.5199,117.5826
69.64,23.65,17.89,6.2765,57.6667,400.3851
30.36,48.8,13.92,5.2026,40.5162,104.0406
46.85,26.04,37.51,5.5668,59.0699,234.3297
13.81,7.62,5.05,1.2184,5.2209,16.6775
23.9,68.65,43.39,6.0101,68.6449,52.2947
70.17,33.34,36.87,8.7242,112.6766,511.4274
39.76,33.05,8.45,4.7811,32.415,159.338
72.47,24.41,7.48,6.3461,53.1963,418.792
53.89,68.32,34.58,10.8588,162.3984,216.1789
67.11,50.91,11.18,10.8298,149.4647,458.2691
21.73,75.09,43.69,5.8132,66.1636,32.5025
68.24,76.6,6.96,13.6376,231.5573,215.6715
42.53,58.87,31.69,8.2091,99.2416,180.4953
73.57,49.71,0.81,11.4554,161.3201,544.9853
85.82,48.03,31.18,13.4801,238.6877,773.6416
83.42,35.39,23.87,10.321,142.8316,701.894
76.43,45.86,0.72,11.1954,154.0554,595.8967
16.12,17.81,47.28,3.6477,48.519,55.9829
60.42,67.02,17.12,11.6403,174.8242,274.5779
14.53,84.59,36.28,4.5682,46.9448,6.2581
83.37,22.78,2.69,6.6634,55.8001,512.1956
99.69,47.16,31.66,15.324,304.002,1038.7305
67.77,51.49,48.1,11.6529,191.4323,491.7183
81.89,71.25,5.95,15.8856,312.4275,418.1515
56.04,24.52,31.16,5.831,58.7287,297.3
46.63,77.22,36.11,10.0068,141.5106,103.2195
90.6,57.44,27.54,15.9205,324.731,776.273
27.95,40.82,20.95,4.6445,37.9638,98.2388
65.95,67.91,0.25,12.4626,190.5811,309.089
87.31,71.81,29.08,17.2543,379.7515,470.2743
48.95,59.24,1.1,8.6017,91.2806,215.3448
54.55,76.2,31.95,11.373,174.9872,147.9855
48.16,25.49,7.64,4.5665,29.534,198.5155
43.74,14.13,43.63,4.2633,49.4413,180.8348
38.7,18.66,26.07,3.8905,33.8843,142.6479
28.15,72.34,42.21,6.7445,78.8815,57.5967
67.16,73.06,12.48,13.2895,222.8542,260.0545
76.46,25.6,14.37,7.1454,70.0001,492.7047
41.82,36.27,43.79,6.4319,74.987,216.8636
77.98,15.37,12.17,4.7375,33.9435,356.2173
66.52,12.29,30.79,4.3348,41.0086,281.7427
11.66,78.57,25.93,3.7425,32.5873,8.6477
98.39,54.96,43.0,16.9409,373.7555,956.9989
25.99,42.8,26.04,4.724,41.9334,90.085
68.47,66.43,36.88,13.3575,237.6205,365.7156
70.58,49.26,47.27,11.7245,193.0288,540.0592
86.43,11.36,19.45,4.3768,34.2221,370.8758
49.84,30.15,8.81,5.4341,40.7492,234.1951
23.39,50.32,26.18,4.7854,42.6965,71.4675
68.42,63.18,33.96,12.9818,223.9864,400.7528
55.48,84.42,38.97,11.9236,194.369,64.3234
11.76,40.4,13.87,2.6293,16.8309,23.5472
79.98,5.28,29.87,3.3295,32.6309,265.1635
46.59,74.42,34.89,9.8701,137.5427,123.5076
26.84,19.59,42.15,3.9889,46.2776,100.8649
48.26,10.81,46.33,4.1315,50.5056,195.848
39.03,37.17,20.65,5.5642,48.9922,173.0517
73.77,78.11,3.79,14.7694,269.3864,224.4814
68.38,37.55,13.06,8.7989,101.5798,477.0161
38.17,75.23,40.14,8.4888,109.572,82.6049
65.46,75.9,38.33,13.5214,243.7685,215.6263
37.59,39.12,47.73,6.3643,76.4002,185.604
26.8,19.71,34.74,3.7376,38.9039,94.299
91.45,58.63,34.1,16.3442,344.8453,778.0731
34.9,7.67,46.69,3.5964,47.7959,124.3914
85.44,47.57,39.24,13.4517,241.9413,775.4289
19.13,49.69,35.51,4.5612,46.3561,56.4477
86.37,9.59,34.57,4.4998,45.1226,383.2164
72.55,58.47,25.3,13.004,220.2075,493.3673
50.27,73.53,41.17,10.6186,159.6179,151.3385
91.92,82.27,19.21,18.7783,442.0655,232.1693
37.48,59.28,11.8,6.9167,64.7137,132.4299
40.36,76.86,18.95,8.4691,97.6833,77.7047
24.88,25.7,40.37,4.1723,46.3033,93.5379
78.62,60.17,32.02,14.3595,269.1089,561.5686
91.4,21.52,5.83,7.0051,63.1246,595.6329
80.07,16.19,27.09,5.5472,52.4938,426.5498
73.77,58.89,10.71,13.0441,214.0335,497.1848
34.18,10.79,0.18,1.3321,2.2669,44.7262
66.55,58.26,24.81,11.9615,188.0733,418.768
33.74,26.88,45.34,4.9699,57.2006,149.567
69.65,77.32,17.03,14.0997,252.3706,215.5642
91.89,45.8,18.88,13.7113,240.071,878.3802
48.0,72.94,13.15,9.6336,120.4742,135.6594
22.8,7.07,4.26,1.2609,4.6614,28.5299
35.63,21.21,16.8,3.5838,25.2691,119.0411
80.92,33.24,14.67,9.3625,114.9484,633.6542
72.31,64.25,32.98,13.7666,249.1803,432.4741
70.49,72.86,14.7,13.9477,245.9581,289.7486
97.54,76.33,46.76,19.8039,504.5927,456.511
51.44,81.18,31.73,10.9538,163.4254,86.3963
66.92,15.57,11.47,4.2166,27.9148,271.82
16.11,15.57,25.44,2.7605,26.393,42.8397
83.86,49.41,42.86,13.6244,249.5572,743.3856
98.47,12.09,48.3,5.8796,69.9801,566.1227
71.14,53.28,41.9,12.319,207.6328,523.9882
45.0,38.48,31.92,6.6825,71.8817,235.4054
57.96,5.7,15.26,2.4457,16.949,141.0519
86.61,78.91,23.37,17.5985,391.5531,293.1821
11.73,13.67,12.98,1.9337,13.3717,22.0398
59.71,84.59,44.29,12.8232,224.3915,72.1893
83.92,16.74,15.83,5.5133,45.6086,443.0687
41.03,38.45,16.14,5.7717,49.3179,185.4602
99.29,62.39,11.96,18.0724,406.5079,831.6199
92.66,32.55,25.58,10.6535,152.2598,832.0935
74.66,7.75,29.67,3.6913,34.8364,273.0752
65.71,77.13,43.32,13.7044,252.4732,200.5807
69.17,61.39,12.33,12.5799,200.273,416.6679
55.97,9.59,22.25,3.2828,26.6814,181.1706
30.31,72.24,43.67,7.1331,86.1378,65.9489
42.92,73.66,7.44,8.5737,93.8988,103.5272
33.64,30.53,16.58,4.2747,31.4641,123.8648
87.13,44.14,23.42,12.7454,211.0799,796.9443
54.66,43.08,8.86,7.8417,79.9004,313.0697
52.75,65.86,6.84,9.9539,124.9423,214.7359
80.37,7.13,35.75,3.9018,40.822,311.1627
64.7,70.31,44.93,13.1177,234.0673,285.9584
72.97,22.1,5.43,5.7882,43.8434,391.3332
19.87,40.91,0.96,2.7247,9.59,40.9156
40.25,19.53,2.06,2.8886,11.288,109.577
92.62,47.27,35.24,14.3705,271.1598,903.1397
99.59,28.62,14.89,10.0282,130.8746,876.6821
23.87,71.08,22.53,5.4468,48.5174,42.1571
83.19,19.59,17.07,6.2439,56.7231,489.3633
33.36,69.98,29.81,7.2308,79.8842,82.581
97.84,46.67,37.58,15.0198,295.7446,1008.3954
90.75,29.21,39.45,9.8458,139.4167,779.8853
49.01,73.34,14.12,9.8642,126.4827,138.5995
18.5,63.49,22.5,4.4143,36.4685,36.4513
60.82,25.14,40.53,6.5326,74.5573,359.6763
95.44,46.99,42.79,14.8169,291.0321,964.6114
66.04,66.84,38.13,12.9778,226.033,337.0794
87.71,73.79,16.91,17.3693,378.4558,425.2875
35.9,58.47,10.1,6.5528,57.8246,123.0205
86.06,13.27,44.14,5.6267,64.0294,471.3044
98.02,18.86,40.94,7.5634,92.1112,701.5615
75.93,48.38,46.78,12.345,211.0004,622.5798
75.41,71.43,43.17,15.1544,303.6151,363.9374
41.19,25.07,34.55,4.9743,50.0758,185.5888
10.61,79.28,42.92,4.2058,48.4591,8.3004
52.92,31.99,45.49,7.0342,85.5506,315.7202
82.23,5.45,16.2,2.7802,19.3088,227.5824
69.63,74.63,15.37,13.9132,245.1218,256.7754
77.26,38.59,19.19,10.208,137.5547,616.4477
67.59,74.2,15.71,13.4965,231.2922,248.3818
52.1,58.81,25.6,9.6285,126.8443,259.7907
19.34,30.04,31.01,3.6881,35.7875,61.7468
53.38,56.51,2.12,9.1234,103.1317,268.7263
12.63,42.61,10.65,2.5836,14.3764,24.0156
18.38,18.33,30.11,3.136,31.813,54.7151
50.81,50.3,41.2,8.9125,119.0939,289.2623
30.27,58.13,34.9,6.3597,68.5818,101.6431
77.69,51.63,35.45,12.975,224.5467,625.7205
78.09,9.31,23.54,3.8289,31.6743,295.0602
88.08,44.64,46.96,13.3355,242.1842,835.7633
47.74,56.97,2.25,8.2158,83.8994,213.7918
93.67,45.26,47.37,14.2427,272.9994,939.0703
92.88,78.56,36.71,18.9544,459.1017,349.1774
78.18,73.82,16.04,15.5182,303.375,338.0689
74.91,67.89,31.99,14.5959,277.4816,411.5325
76.99,30.55,30.52,8.6939,108.5736,576.4291
71.39,56.09,14.9,12.3255,193.8134,490.8971
28.98,29.64,20.86,3.9883,31.3293,100.4572
56.6,49.74,31.49,9.4828,126.5766,346.8633
56.8,36.86,16.46,7.3999,75.6298,336.295
69.57,14.28,36.67,4.9952,51.6788,336.7785
58.79,66.22,10.72,11.1639,158.2382,264.6475
67.93,35.91,19.77,8.5918,100.676,472.7138
55.07,81.45,17.71,11.4187,168.8655,93.4894
21.38,39.41,7.62,3.2459,17.0103,53.618
46.13,72.59,12.74,9.2545,111.4897,127.7346
99.96,67.54,0.63,18.8402,435.5758,719.48
89.63,41.6,12.85,12.3443,193.3376,827.3785
99.92,35.04,36.64,12.3032,204.3866,1006.5204
11.97,8.8,18.52,2.1387,18.6909,25.2989
12.45,54.79,45.04,4.2397,50.3139,30.4341
56.62,53.37,1.49,9.2963,106.7192,314.0481
41.53,5.49,0.73,0.9644,1.5346,39.8678
53.82,78.87,17.69,11.0913,159.8234,115.2296
95.19,36.7,28.82,12.0842,193.7658,922.2785
82.8,71.07,15.69,16.1656,328.3458,434.2302
71.01,63.99,49.54,13.7456,257.1204,428.0363
34.22,46.3,39.35,6.3143,70.5459,149.2827
57.98,49.91,14.61,9.3613,114.891,349.5373
81.86,46.87,3.29,12.2346,185.2004,684.6981
51.06,29.28,23.59,5.9056,55.3748,263.0152
69.49,70.06,23.05,13.6618,240.5442,323.7653
24.42,82.56,24.06,5.7846,53.9447,18.2914
39.41,74.31,7.15,7.9193,80.5221,84.4019
55.94,32.14,34.51,7.0633,79.6491,334.569
19.78,25.0,12.37,2.6544,15.9316,47.5848
46.82,11.72,29.69,3.6139,34.3001,165.6753
44.67,69.49,27.71,9.1473,116.9278,143.165
29.77,15.65,5.82,2.1812,9.1071,62.527
31.76,17.07,24.59,3.3827,29.0199,102.7017
35.18,57.13,44.72,7.2769,89.2192,138.9408
52.03,20.5,42.67,5.343,59.5923,260.3914
75.5,20.92,48.32,6.9197,85.3614,487.9982
34.75,8.39,21.96,2.695,23.2703,92.649
44.43,25.96,49.24,5.7201,68.5194,228.5009
62.05,11.41,31.56,4.0797,39.24,248.1424
68.28,14.09,21.92,4.4037,36.0029,291.6384
23.45,81.6,35.25,5.9395,62.6795,20.3466
83.62,73.85,12.38,16.5279,341.1933,384.4249
58.22,75.65,31.43,12.0318,193.5787,173.613
96.58,47.96,34.76,15.0929,296.9861,976.1292
85.09,64.57,35.38,16.1144,336.3616,588.7933
18.67,49.35,28.62,4.2581,38.8466,51.7884
47.87,53.87,15.38,8.262,91.5717,233.1956
99.24,25.62,20.18,9.1959,114.0327,822.8757
64.43,48.3,45.97,10.6847,163.9199,457.9547
49.87,50.51,3.13,7.9269,78.6248,251.3977
43.97,14.16,24.46,3.5842,30.3571,152.8089
35.54,38.0,44.25,5.9716,68.6517,167.24
50.55,17.37,46.84,4.9903,58.4478,240.7558
73.02,47.87,12.38,11.2645,161.8497,551.768
98.21,29.34,32.42,10.4437,150.449,894.1097
23.52,71.81,29.6,5.6278,55.0476,41.3205
84.12,74.63,22.03,16.8038,357.354,374.6594
97.43,43.38,35.22,14.1503,263.459,1002.0327
93.17,65.21,4.26,17.2948,368.9149,675.6315
86.8,71.22,25.9,17.0636,370.1087,476.8249
16.2,43.69,21.27,3.5151,27.6524,41.176
90.09,70.14,1.44,17.2916,367.3678,529.2206
68.76,77.13,42.56,14.2741,271.5799,218.6161
14.82,68.94,23.83,4.0262,33.5788,21.4415
66.46,28.24,15.26,6.8644,65.6621,401.9071
61.86,21.58,25.88,5.5835,52.2642,321.1848
60.22,58.51,2.01,10.5082,136.4124,330.5449
22.6,67.04,2.96,4.3803,25.0313,38.6167
88.39,77.57,45.62,18.1115,425.3762,344.5831
24.22,73.49,5.19,4.9481,32.6739,34.0573
15.48,64.68,17.18,3.7795,27.1597,25.0217
75.37,59.57,4.54,13.3188,219.7998,508.4292
29.06,8.13,8.29,1.7848,9.1508,51.345
17.74,17.66,17.92,2.5372,19.3962,42.8888
31.75,57.21,43.9,6.7647,80.2103,116.3162
51.29,71.54,28.67,10.4765,149.3075,170.1446
60.45,29.08,30.72,6.8979,74.7167,364.4146
83.93,64.47,19.54,15.6942,311.8845,567.6978
18.8,61.59,41.51,5.0478,55.4465,45.1507
93.65,61.77,26.89,17.1416,373.8852,759.3315
97.23,43.54,36.31,14.1772,264.9565,999.229
35.87,49.93,24.11,6.3682,62.5143,147.0439
80.87,5.36,40.6,3.7484,43.5087,301.8076
80.39,37.35,0.1,9.9452,121.3349,635.5537
74.52,69.21,27.06,14.5818,274.4405,385.6946
12.27,51.46,42.9,4.0933,47.5946,31.2931
17.11,5.95,4.0,1.1018,4.1603,18.7502
12.8,81.89,25.56,3.9146,33.7445,7.0688
98.79,54.46,7.18,16.4775,336.5365,946.2003
13.56,74.85,28.11,4.0748,36.8416,14.4405
39.51,79.71,19.16,8.391,96.1849,59.2211
31.46,52.81,30.99,6.1387,63.0038,116.7354
71.02,55.05,42.28,12.5544,214.9916,510.7709
34.23,12.65,4.58,1.9961,7.4441,66.6679
58.07,9.62,44.03,4.1444,48.8298,237.281
85.72,7.68,20.27,3.5121,26.9587,298.3567
49.26,82.65,1.66,9.9942,123.3131,62.9818
75.36,74.45,27.21,15.1673,295.864,306.4166
15.88,51.48,5.92,2.9431,13.7877,29.1069
27.01,63.94,14.73,5.4935,44.7373,65.1849
83.6,74.59,1.03,16.4439,332.0939,365.294
84.63,19.84,12.25,6.2551,54.2994,497.9479
27.82,10.71,20.66,2.6459,22.0223,72.3267
45.25,41.9,39.48,7.2683,86.025,244.7971
69.91,38.66,0.08,8.9055,97.2919,486.1547
45.47,25.97,16.31,4.7582,36.517,194.5085
11.57,54.03,29.73,3.595,34.199,24.4308
88.53,30.25,37.9,9.875,139.2803,755.1942
52.43,41.93,30.46,7.9262,93.0208,309.1687
97.43,30.36,24.64,10.5172,148.2379,884.1716
89.35,55.49,28.95,15.394,305.2452,779.2635
85.7,35.6,6.33,10.2962,133.1805,717.4674
34.85,43.09,21.24,5.6237,50.1291,143.1249
68.1,47.9,29.63,10.8578,159.7592,495.7243
66.86,8.91,4.36,2.4709,9.8256,163.2108
63.55,81.47,47.38,13.5269,248.6924,127.5072
11.95,78.72,0.33,2.4171,7.3299,5.6499
19.99,29.74,38.33,3.9834,43.3419,69.14
66.75,62.96,33.63,12.6625,213.789,384.2484
52.35,9.55,34.78,3.6915,38.6248,190.5718
31.2,25.23,48.3,4.774,57.3146,134.7397
57.47,69.55,34.32,11.5823,182.1088,232.566
70.85,71.57,15.84,13.9353,246.1158,312.1358
85.9,70.33,20.22,16.7371,353.6952,483.9388
55.7,60.83,21.2,10.3338,141.7636,280.5453
63.36,43.45,31.78,9.5612,128.5535,439.7938
67.28,51.85,19.78,11.1484,162.4576,463.3315
84.53,56.82,1.45,14.4441,256.5599,668.196
24.94,28.52,24.91,3.7735,32.1373,82.6908
13.57,19.69,21.64,2.6176,22.7055,33.4439
39.67,24.07,37.66,4.8739,51.0023,176.5356
70.05,81.91,18.6,14.4025,263.7489,141.9802
47.32,9.51,48.51,4.0412,51.6254,188.6015
91.28,46.47,45.88,14.1531,269.106,889.7724
47.12,19.02,15.09,3.9163,27.1092,174.4613
85.35,18.0,0.57,5.3986,36.0246,438.2188
68.03,31.73,11.53,7.6034,76.7734,439.9476
